卫视频道,#genre#
河北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225732/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225732/index.m3u8?fmt=ts2hls#http://113.62.253.22/live.aishang.ctlcdn.com/00000110240317_1/playlist.m3u8?CONTENTID=00000110240317_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://39.134.115.163:8080/TVOD/88888910/224/3221225732/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225610/index.m3u8?fmt=ts2hls
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225743/index.m3u8#http://39.135.138.59:18890/TVOD/88888910/224/3221225702/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225743/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225488/index.m3u8?fmt=ts2hls#http://113.62.253.22/live.aishang.ctlcdn.com/00000110240133_1/playlist.m3u8?CONTENTID=00000110240133_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225743/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225702/index.m3u8
安多卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226195/index.m3u8
辽宁卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225735/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225735/index.m3u8#http://39.135.138.59:18890/TVOD/88888910/224/3221225696/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225696/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225601/index.m3u8?fmt=ts2hls#http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8#http://113.62.253.22/live.aishang.ctlcdn.com/00000110240255_1/playlist.m3u8?CONTENTID=00000110240255_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225735/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225735/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225696/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225696/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8
CCTV6,http://39.135.138.58:18890/PLTV/88888888/224/3221225650/index.m3u8#http://123.6.9.146/live/jz-cctv-6/live.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8?#http://39.135.138.58:18890/TVOD/88888888/224/3221225650/index.m3u8#http://182.151.211.171:808/hls/6/index.m3u8#http://111.20.35.103:6610/yinhe/2/ch00000090990000001588/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://111.20.35.103:6610/yinhe/2/ch00000090990000001275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225632/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8#http://113.62.253.22/live.aishang.ctlcdn.com/00000110240247_1/playlist.m3u8?CONTENTID=00000110240247_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://111.20.35.103:6610/yinhe/2/ch00000090990000001016/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225632/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225649/index.m3u8#http://39.137.49.76:8080/PLTV/88888888/224/3221225632/index.m3u8?
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225658/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225658/index.m3u8#http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8#http://113.62.253.22/live.aishang.ctlcdn.com/00000110240242_1/playlist.m3u8?CONTENTID=00000110240242_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225489/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225658/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225659/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8"#http://39.134.115.163:8080/TVOD/88888910/224/3221225659/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8#http://39.135.138.59:18890/TVOD/88888910/224/3221225659/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225658/index.m3u8
CCTV12,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8#http://123.6.9.146/live/jz-cctv-12/live.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225637/index.m3u8#http://39.135.138.58:18890/TVOD/88888888/224/3221225637/index.m3u8#http://111.20.35.103:6610/yinhe/2/ch00000090990000001013/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225637/index.m3u8#http://39.137.49.76:8080/PLTV/88888888/224/3221225629/index.m3u8?#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225495/index.m3u8?fmt=ts2hls#http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225567/2/index.m3u8?fmt=ts2hls#http://39.134.115.163:8080/TVOD/88888910/224/3221225637/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225628/index.m3u8#http://111.20.35.103:6610/yinhe/2/ch00000090990000001289/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://113.62.253.22/live.aishang.ctlcdn.com/00000110240252_1/playlist.m3u8?CONTENTID=00000110240252_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://39.135.138.59:18890/TVOD/88888910/224/3221225629/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225629/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225637/index.m3u8
海南卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225722/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8?zweimd#http://39.135.138.59:18890/PLTV/88888910/224/3221225722/index.m3u8
CCTV7,http://39.135.138.58:18890/PLTV/88888910/224/3221225624/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225624/index.m3u8#http://123.6.9.146/live/jz-cctv-7/live.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225624/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225499/index.m3u8?fmt=ts2hls#http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8#http://39.137.49.76:8080/PLTV/88888888/224/3221225624/index.m3u8?#http://111.20.35.103:6610/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://113.62.253.22/live.aishang.ctlcdn.com/00000110240248_1/playlist.m3u8?CONTENTID=00000110240248_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://39.134.115.163:8080/TVOD/88888910/224/3221225650/index.m3u8#http://111.20.35.103:6610/yinhe/2/ch00000090990000001017/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8#http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225570/2/index.m3u8?fmt=ts2hls#http://111.20.35.103:6610/yinhe/2/ch00000090990000001325/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225644/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225635/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225631/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225631/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8#http://111.20.35.103:6610/yinhe/2/ch00000090990000001849/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://111.20.35.103:6610/yinhe/2/ch00000090990000001022/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://39.134.115.163:8080/TVOD/88888910/224/3221225624/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225631/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8#http://111.20.35.103:6610/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8#http://39.137.49.76:8080/PLTV/88888888/224/3221225631/index.m3u8?
CCTV-13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8#http://39.135.138.59:18890/TVOD/88888910/224/3221225638/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
北京卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225673/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225673/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225673/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8#http://39.135.138.59:18890/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8#http://113.62.253.22/live.aishang.ctlcdn.com/00000110240129_1/playlist.m3u8?CONTENTID=00000110240129_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225600/index.m3u8?fmt=ts2hls#http://39.135.138.59:18890/TVOD/88888910/224/3221225674/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225674/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225673/index.m3u8
